repository	path	sha256	pinned_refs	sources	classification	declared_keys	licence	ref_screen	fern	disposition	evidence	screen_evidence
Adyen/adyen-openapi	json/CheckoutService-v66.json	5a4bdd5fcaaa65dbc9550c416d9114670ad5abaa166542d5d11aec76149ee885	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:45	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v67.json	57ebef757f5e62d29f7a21d1922c58dd6f196a40ffddc2ae3d008727fb41fa18	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:46	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v68.json	8b940a328c622be42a8b13ed64ff3ab8cbca1430b12a9cdf736a1a062ade5a48	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:47	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v69.json	466fca4656e34f42d07e87026be098f90903612576aecc2f823989b45b2a73e3	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:48	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v70.json	a2d1f411288c78b1f34fd19ecfb037d37936e9d31e857ccdac5f838084554306	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:49	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v71.json	fd59f89f18d134f901d6d42b7aabad1c8afd4e2eb733823ba50944c034f1095a	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:50	not-applicable-no-declaration
Adyen/adyen-openapi	json/CheckoutService-v72.json	f4081494707eb5ff6486397b366079b5375fcedb666bbe1604fe91bc01a4affb	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:51	not-applicable-no-declaration
Adyen/adyen-openapi	json/CloudDeviceService-v1.json	0971b53339fcfbac57983d81d83bd18f728b7c61293c1dd6758f2e817c9b0966	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:52	not-applicable-no-declaration
Adyen/adyen-openapi	json/DataProtectionService-v1.json	7b7145f757ef5926a378e568f2553167d6167d5cf8442d0283fd605ac0bdb3ac	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:53	not-applicable-no-declaration
Adyen/adyen-openapi	json/DisputeService-v30.json	2379cba0a5508a61f50503e796fa9b74ad328d0759953e7b8258e179980291d8	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:54	not-applicable-no-declaration
